Section,Subsection,,Link(s),Title,Author(s),Affiliation,PMID,PMCID,PubDate,MeSH,Abstract,PubType
,,Neuralgic amyotrophy of the lumbosacral plexus following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/34816739/,https://pubmed.ncbi.nlm.nih.gov/34816739 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8649466/,Leg paralysis after AstraZeneca COVID-19 vaccination diagnosed as neuralgic amyotrophy of the lumbosacral plexus: a case report.,"Kim, Se Il; Seok, Hung Youl; Yi, Jaehyuck; Cho, Jang Hyuk","Department of Rehabilitation Medicine, 37976Keimyung University School of Medicine, Keimyung University Dongsan Hospital, Keimyung University School of Medicine, Daegu, Republic of Korea.; Department of Neurology, 37976Keimyung University School of Medicine, Keimyung University Dongsan Hospital, Keimyung University School of Medicine, Daegu, Republic of Korea.; Department of Radiology, 37976Keimyung University School of Medicine, Keimyung University Dongsan Hospital, Keimyung University School of Medicine, Daegu, Republic of Korea.; Department of Rehabilitation Medicine, 37976Keimyung University School of Medicine, Keimyung University Dongsan Hospital, Keimyung University School of Medicine, Daegu, Republic of Korea.",34816739,PMC8649466,2021-11-01 00:00:00,*Brachial Plexus Neuritis/chemically induced/diagnosis; *COVID-19; COVID-19 Vaccines; Humans; Leg; Lumbosacral Plexus; Paraplegia; SARS-CoV-2; Vaccination/adverse effects,The ongoing global administration of vaccines for coronavirus disease 2019 (COVID-19) means that increasing numbers of patients are likely to present with,Vaccine Publication
,,Parsonage-Turner syndrome following Pfizer: https://pubmed.ncbi.nlm.nih.gov/34559695/,https://pubmed.ncbi.nlm.nih.gov/34559695 ,Parsonage-Turner Syndrome After SARS-CoV-2 BNT162b2 Vaccine: A Case Report.,"Coffman, Jason R; Randolph, Amanda C; Somerson, Jeremy S","Department of Orthopaedic Surgery and Rehabilitation, The University of Texas Medical Branch, Galveston, Texas.; Graduate School of Biomedical Sciences, The University of Texas Medical Branch, Galveston, Texas.; Department of Orthopaedic Surgery and Rehabilitation, The University of Texas Medical Branch, Galveston, Texas.",34559695,,2021-09-24 00:00:00,Aged; BNT162 Vaccine; Brachial Plexus Neuritis/diagnosis/*etiology/rehabilitation; COVID-19 Vaccines/*adverse effects; Female; Humans; Physical Therapy Modalities,"CASE: Parsonage-Turner syndrome, also known as brachial neuritis or neuralgic amyotrophy, is characterized by sudden-onset pain and subsequent weakness of the shoulder. Known precipitating factors include viral and bacterial infections and certain immunizations. Isolated cases after severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection have been reported. We report the case of a",Vaccine Publication
,,Parsonage-Turner syndrome in a 43yoM after COVID-19 vaccination: https://pubmed.ncbi.nlm.nih.gov/34936579/,https://pubmed.ncbi.nlm.nih.gov/34936579 ,Parsonage-Turner Syndrome After COVID-19 Vaccination: A Case Report.,"Flikkema, Kyle; Brossy, Kelley","Department of Orthopedic Surgery, Beaumont Dearborn Hospital, Dearborn, Michigan.; Department of Orthopedic Surgery, Beaumont Farmington Hills Hospital, Farmington Hills, Michigan.; Department of Orthopedic Surgery, Beaumont Dearborn Hospital, Dearborn, Michigan.; Department of Orthopedic Surgery, Beaumont Farmington Hills Hospital, Farmington Hills, Michigan.",34936579,,2021-12-22 00:00:00,Adult; *Brachial Plexus Neuritis/etiology; *COVID-19; COVID-19 Vaccines; Humans; Male; SARS-CoV-2; Vaccination,"CASE: A 43-year-old man developed Parsonage-Turner syndrome shortly after receiving a COVID-19 vaccine. The patient presented to the hospital 5 days after receiving a COVID-19 vaccine to the right shoulder complaining of severe right shoulder pain, right upper extremity swelling, and weakness. Clinical examination, physical examination, and magnetic resonance imaging findings were consistent with Parsonage-Turner syndrome. CONCLUSION: It is important that",Vaccine Publication
,,2 cases of Parsonage Turner Syndrome following Moderna and Pfizer: https://pubmed.ncbi.nlm.nih.gov/34402669/,https://pubmed.ncbi.nlm.nih.gov/34402669 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8488809/,Parsonage-Turner Syndrome Following COVID-19 Vaccination: MR Neurography.,"Queler, Sophie C; Towbin, Alexander J; Milani, Carlo; Whang, Jeremy; Sneag, Darryl B","From the Department of Radiology and Imaging (S.C.Q., D.B.S.) and Department of Spine and Sports Medicine (C.M.), Hospital for Special Surgery, 535 E 70th St, New York, NY 10021; Department of Radiology, Cincinnati Children's Hospital Medical Center, University of Cincinnati College of Medicine, Cincinnati, Ohio (A.J.T.); and Blue Star Radiology Associates, Frisco, Tex (J.W.).; From the Department of Radiology and Imaging (S.C.Q., D.B.S.) and Department of Spine and Sports Medicine (C.M.), Hospital for Special Surgery, 535 E 70th St, New York, NY 10021; Department of Radiology, Cincinnati Children's Hospital Medical Center, University of Cincinnati College of Medicine, Cincinnati, Ohio (A.J.T.); and Blue Star Radiology Associates, Frisco, Tex (J.W.).; From the Department of Radiology and Imaging (S.C.Q., D.B.S.) and Department of Spine and Sports Medicine (C.M.), Hospital for Special Surgery, 535 E 70th St, New York, NY 10021; Department of Radiology, Cincinnati Children's Hospital Medical Center, University of Cincinnati College of Medicine, Cincinnati, Ohio (A.J.T.); and Blue Star Radiology Associates, Frisco, Tex (J.W.).; From the Department of Radiology and Imaging (S.C.Q., D.B.S.) and Department of Spine and Sports Medicine (C.M.), Hospital for Special Surgery, 535 E 70th St, New York, NY 10021; Department of Radiology, Cincinnati Children's Hospital Medical Center, University of Cincinnati College of Medicine, Cincinnati, Ohio (A.J.T.); and Blue Star Radiology Associates, Frisco, Tex (J.W.).; From the Department of Radiology and Imaging (S.C.Q., D.B.S.) and Department of Spine and Sports Medicine (C.M.), Hospital for Special Surgery, 535 E 70th St, New York, NY 10021; Department of Radiology, Cincinnati Children's Hospital Medical Center, University of Cincinnati College of Medicine, Cincinnati, Ohio (A.J.T.); and Blue Star Radiology Associates, Frisco, Tex (J.W.).",34402669,PMC8488809,2022-01-01 00:00:00,Adult; Analgesics; Brachial Plexus/*diagnostic imaging; Brachial Plexus Neuritis/*diagnostic imaging/drug therapy/*etiology; COVID-19/prevention & control; COVID-19 Vaccines/*adverse effects; Gabapentin/therapeutic use; Humans; Magnetic Resonance Imaging/*methods; Male; Middle Aged; Prednisone/therapeutic use,Vaccination is one of the several known triggers of Parsonage-Turner syndrome (PTS). This case series describes two individuals with clinical presentations of PTS whose symptoms began 13 hours and 18 days following receipt of the,Vaccine Publication
,,Parsonage—Turner syndrome following Astra Zeneca: a case report and review of the literature: https://pubmed.ncbi.nlm.nih.gov/34903275/,https://pubmed.ncbi.nlm.nih.gov/34903275 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8667016/,Parsonage-Turner syndrome following coronavirus disease 2019 immunization with,"Vitturi, Bruno Kusznir; Grandis, Marina; Beltramini, Sabrina; Orsi, Andrea; Schenone, Angelo; Icardi, Giancarlo; Durando, Paolo","Department of Health Sciences, University of Genoa, L.go R. Benzi, 10 (Building 3), 16122, Genoa, Italy. z_azul@hotmail.com.; DINOGMI, University of Genoa, Genoa, Italy.; Neurology Unit, IRCCS Ospedale Policlinico San Martino, Genoa, Italy.; Pharmacy Unit, IRCCS Ospedale Policlinico San Martino, Genoa, Italy.; Hygiene Unit, IRCCS Ospedale Policlinico San Martino, Genoa, Italy.; DINOGMI, University of Genoa, Genoa, Italy.; Neurology Unit, IRCCS Ospedale Policlinico San Martino, Genoa, Italy.; Department of Health Sciences, University of Genoa, L.go R. Benzi, 10 (Building 3), 16122, Genoa, Italy.; Hygiene Unit, IRCCS Ospedale Policlinico San Martino, Genoa, Italy.; Department of Health Sciences, University of Genoa, L.go R. Benzi, 10 (Building 3), 16122, Genoa, Italy.; Occupational Medicine Unit, IRCCS Ospedale Policlinico San Martino, Genoa, Italy.",34903275,PMC8667016,2021-12-13 00:00:00,*Brachial Plexus Neuritis; *COVID-19; Humans; Male; Middle Aged; SARS-CoV-2; Vaccination; *Vaccines,"BACKGROUND: Parsonage-Turner syndrome is an acute peripheral neuropathy that affects the upper brachial plexus region. Previously published reports demonstrate that the condition can be triggered by surgery, infection, autoimmune diseases, strenuous exercise, trauma, radiation, and vaccination.",Vaccine Publication
Neuro,,Transverse Myelitis:
,,36yoM with transverse myelitis following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/33787891/,https://pubmed.ncbi.nlm.nih.gov/33787891 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8083508/,COVID-19 vaccination-associated myelitis.,"Malhotra, Hardeep Singh; Gupta, Priyanka; Prabhu, Vikas; Kumar Garg, Ravindra; Dandu, Himanshu; Agarwal, Vikasendu","Department of Neurology, King George's Medical University, Lucknow 226003, Uttar Pradesh, India.; Department of Neurology, King George's Medical University, Lucknow 226003, Uttar Pradesh, India.; Department of Neurology, King George's Medical University, Lucknow 226003, Uttar Pradesh, India.; Department of Neurology, King George's Medical University, Lucknow 226003, Uttar Pradesh, India.; Department of Infectious Diseases, King George's Medical University, Lucknow 226003, Uttar Pradesh, India.; SSO, IDSP, Directorate of Medical & Health Services, Swasthya Bhawan, Lucknow - 226001, Uttar Pradesh, India.",33787891,PMC8083508,2021-11-05 00:00:00,Adult; *COVID-19/prevention & control; COVID-19 Vaccines/*adverse effects; Humans; Male; *Myelitis/chemically induced; Vaccination/adverse effects,,Vaccine Publication
,,Acute Myelitis following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/34392078/,https://pubmed.ncbi.nlm.nih.gov/34392078 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8325554/,Acute myelitis and ChAdOx1 nCoV-19 vaccine: Casual or causal association?,"Vegezzi, Elisa; Ravaglia, Sabrina; Buongarzone, Gabriele; Bini, Paola; Diamanti, Luca; Gastaldi, Matteo; Prunetti, Paolo; Rognone, Elisa; Marchioni, Enrico","Neuroncology and Neuroinflammation Unit, IRCCS Mondino Foundation, Pavia, Italy; Department of Brain and Behavioral Sciences, University of Pavia, Pavia, Italy. Electronic address: elisa.vegezzi@mondino.it.; Emergency Neurology Unit, IRCCS Mondino Foundation, Pavia, Italy. Electronic address: sabrina.ravaglia@mondino.it.; Department of Brain and Behavioral Sciences, University of Pavia, Pavia, Italy. Electronic address: gabriele.buongarzone01@universitadipavia.it.; Neuroncology and Neuroinflammation Unit, IRCCS Mondino Foundation, Pavia, Italy. Electronic address: paola.bini@mondino.it.; Neuroncology and Neuroinflammation Unit, IRCCS Mondino Foundation, Pavia, Italy. Electronic address: luca.diamanti@mondino.it.; Neuroncology and Neuroinflammation Unit, IRCCS Mondino Foundation, Pavia, Italy; Neuroimmunology Research Unit, IRCCS Mondino Foundation, Pavia, Italy. Electronic address: matteo.gastaldi@mondino.it.; Clinical Neurophysiology Unit, IRCCS Mondino Foundation, Pavia, Italy. Electronic address: paolo.prunetti@mondino.it.; Neuroradiology Unit, IRCCS Mondino Foundation, Pavia, Italy. Electronic address: elisa.rognone@mondino.it.; Neuroncology and Neuroinflammation Unit, IRCCS Mondino Foundation, Pavia, Italy. Electronic address: enrico.marchion@mondino.it.",34392078,PMC8325554,2021-10-15 00:00:00,Acute Disease; Adult; COVID-19/*prevention & control; COVID-19 Vaccines/*administration & dosage/adverse effects; ChAdOx1 nCoV-19; Female; Humans; Myelitis/chemically induced/*diagnostic imaging,A 44-year-old previously healthy woman developed acute myelitis in close temporal relationship with ChAdOx1 nCoV-19 vaccine first-dose administration. The neurological involvement was mainly sensory with neuroimaging showing two,Vaccine Publication
,,67yoF with transverse myelitis following Moderna 1st dose: https://pubmed.ncbi.nlm.nih.gov/34482455/,https://pubmed.ncbi.nlm.nih.gov/34482455 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8418691/,Acute transverse myelitis following SARS-CoV-2 vaccination: a case report and review of literature.,"Khan, Erum; Shrestha, Ashish K; Colantonio, Mark A; Liberio, Richard N; Sriwastava, Shitiz","B.J. Medical College and Civil Hospital, Ahmedabad, India.; Kathmandu Medical College Teaching Hospital, Kathmandu, Nepal.; Kathmandu Medical College Teaching Hospital, Kathmandu, Nepal.; Department of Neurology, Rockefeller Neuroscience Institute, West Virginia University School of Medicine, Morgantown, WV, USA.; Department of Neurology, Rockefeller Neuroscience Institute, West Virginia University School of Medicine, Morgantown, WV, USA.; Department of Neurology, Rockefeller Neuroscience Institute, West Virginia University School of Medicine, Morgantown, WV, USA. shitiz.sriwastava@hsc.wvu.edu.; West Virginia Clinical Transitional Science, Morgantown, WV, USA. shitiz.sriwastava@hsc.wvu.edu.",34482455,PMC8418691,2022-03-01 00:00:00,"*COVID-19; COVID-19 Vaccines; Humans; *Myelitis, Transverse/diagnosis/etiology; Retrospective Studies; SARS-CoV-2; Vaccination/adverse effects","OBJECTIVE: To report a unique case and literature review of post COVID-19 vaccination associated transverse myelitis and with abnormal MRI findings. BACKGROUND: Coronavirus disease have been reported to be associated with several neurological manifestations such as stroke, Guillain-Barré syndrome, meningoencephalitis amongst others. There are only a few reported cases of transverse myelitis with the novel coronavirus (n-CoV-2). Here, we identify a post COVID-19 vaccination patient diagnosed with acute transverse myelitis. METHOD: A retrospective chart review of a patient diagnosed with post SARS-CoV-2 vaccination acute transverse myelitis, and a review of literature of all the reported cases of other post vaccination and transverse myelitis, from December 1st, 2010 till July 15th, 2021, was performed. CONCLUSION: To our knowledge, this is the one of early reported case of transverse myelitis and with post SARS-CoV-2 vaccination, who responded well to plasmapheresis. Further studies would be recommended to identify the underlying correlation between COVID-19 vaccination and transverse myelitis.",Vaccine Publication
,,70yoM with acute autoimmune transverse myelitis following Moderna: https://pubmed.ncbi.nlm.nih.gov/34941191/,https://pubmed.ncbi.nlm.nih.gov/34941191 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8701778/,Acute autoimmune transverse myelitis following COVID-19 vaccination: A case report.,"Hirose, Satoshi; Hara, Makoto; Koda, Kento; Natori, Naotoshi; Yokota, Yuki; Ninomiya, Satoko; Nakajima, Hideto","Division of Neurology, Department of Internal Medicine, Nihon University School of Medicine, Tokyo, Japan.",34941191,PMC8701778,2021-12-23 00:00:00,"2019-nCoV Vaccine mRNA-1273/*adverse effects; Aged; *COVID-19/prevention & control; Contrast Media; Gadolinium; Humans; Magnetic Resonance Imaging; Male; Methylprednisolone; *Myelitis, Transverse/chemically induced; *Vaccination/adverse effects","RATIONALE: Transverse myelitis is an infectious or noninfectious inflammatory spinal cord syndrome. We report a rare case of transverse myelitis following vaccination against COVID-19. PATIENT CONCERNS: A 70-year-old male presented with progressive sensorimotor dysfunction of the bilateral lower limbs 7 days after receiving the mRNA-1273 vaccine against COVID-19. Spinal magnetic resonance imaging revealed intramedullary lesions with gadolinium enhancement on the Th1/2 and Th5/6 vertebral levels. Cerebrospinal fluid (CSF) testing showed a mildly increased level of total protein and positive oligoclonal bands (OCB). DIAGNOSIS: The patient was diagnosed with acute transverse myelitis. INTERVENTION: The patient received 5 days of intravenous methylprednisolone pulse (1000 mg/day) followed by oral prednisolone (30 mg/day with gradual tapering). OUTCOMES: The patient fully recovered from muscle weakness of the lower limbs. He was discharged from our hospital and able to independently walk without unsteadiness. LESSON: This is a rare case of transverse myelitis following COVID-19 vaccination. Positive OCB in CSF in the present case highlights the possibility of autoimmune processes, including polyclonal activation of B lymphocytes, following vaccination.",Vaccine Publication
